descricao_alimento,kcal,carboidrato_g,proteina_g,lipideos_g,fibra_alimentar_g,base_por,fonte
"Mandioca, crua",151.0,36.2,1.1,0.3,1.9,100g,TACO
"Mandioca, farofa, temperada",406.0,80.3,2.1,9.1,7.8,100g,TACO
"Mandioca, frita",300.0,50.3,1.4,11.2,1.9,100g,TACO
"Manjericão, cru",21.0,3.6,2.0,0.4,3.3,100g,TACO
"Maxixe, cru",14.0,2.7,1.4,0.1,2.2,100g,TACO
"Mostarda, folha, crua",18.0,3.2,2.1,0.2,1.9,100g,TACO
"Nhoque, batata, cozido",181.0,36.8,5.9,1.9,1.8,100g,TACO
"Nabo, cru",18.0,4.1,1.2,0.1,2.6,100g,TACO
"Palmito, juçara, em conserva",23.0,4.3,1.8,0.4,3.2,100g,TACO
"Palmito, pupunha, em conserva",29.0,5.5,2.5,0.5,2.6,100g,TACO
"Pão, de queijo, assado",363.0,34.2,5.1,24.6,0.6,100g,TACO
"Pão, de queijo, cru",295.0,38.5,3.6,14.0,1.0,100g,TACO
"Pepino, cru",10.0,2.0,0.9,,1.1,100g,TACO
"Pimentão, amarelo, cru",28.0,6.0,1.2,0.4,1.9,100g,TACO
"Pimentão, verde, cru",21.0,4.9,1.1,0.2,2.6,100g,TACO
"Pimentão, vermelho, cru",23.0,5.5,1.0,0.1,1.6,100g,TACO
"Polvilho, doce",351.0,86.8,0.4,,0.2,100g,TACO
"Quiabo, cru",30.0,6.4,1.9,0.3,4.6,100g,TACO
"Rabanete, cru",14.0,2.7,1.4,0.1,2.2,100g,TACO
"Repolho, branco, cru",17.0,3.9,0.9,0.1,1.9,100g,TACO
"Repolho, roxo, cru",31.0,7.2,1.9,0.1,2.0,100g,TACO
"Repolho, roxo, refogado",42.0,7.6,1.8,1.2,1.8,100g,TACO
"Rúcula, crua",13.0,2.2,1.8,0.1,1.7,100g,TACO
"Salsa, crua",33.0,5.7,3.3,0.6,1.9,100g,TACO
"Seleta de legumes, enlatada",57.0,12.7,3.4,0.4,3.1,100g,TACO
"Serralha, crua",30.0,4.9,2.7,0.7,3.5,100g,TACO
"Taioba, crua",34.0,5.4,2.9,0.9,4.5,100g,TACO
"Tomate, com semente, cru",15.0,3.1,1.1,0.2,1.2,100g,TACO
"Tomate, extrato",61.0,15.0,2.4,0.2,2.8,100g,TACO
"Tomate, molho industrializado",38.0,7.7,1.4,0.9,3.1,100g,TACO
"Tomate, purê",28.0,6.9,1.4,,1.0,100g,TACO
"Tomate, salada",21.0,5.1,0.8,,2.3,100g,TACO
"Vagem, crua 92, 2 25",25.0,5.3,1.8,0.2,2.4,100g,TACO
"Abacate, cru",96.0,6.0,1.2,8.4,6.3,100g,TACO
"Abacaxi, cru",48.0,12.3,0.9,0.1,1.0,100g,TACO
"Abacaxi, polpa, congelada",31.0,7.8,0.5,0.1,0.3,100g,TACO
"Abiu, cru",62.0,14.9,0.8,0.7,1.7,100g,TACO
"Açaí, polpa, com xarope de guaranáe glucose",110.0,21.5,0.7,3.7,1.7,100g,TACO
"Açaí, polpa, congelada",58.0,6.2,0.8,3.9,2.6,100g,TACO
"Acerola, crua",33.0,8.0,0.9,0.2,1.5,100g,TACO
"Acerola, polpa, congelada",22.0,5.5,0.6,,0.7,100g,TACO
"Ameixa, calda, enlatada",183.0,46.9,0.4,,0.5,100g,TACO
"Ameixa, crua",53.0,13.9,0.8,,2.4,100g,TACO
"Ameixa, em calda, enlatada, drenada",177.0,47.7,1.0,0.3,4.5,100g,TACO
"Atemóia, crua",97.0,25.3,1.0,0.3,2.1,100g,TACO
"Banana, da terra, crua",128.0,33.7,1.4,0.2,1.5,100g,TACO
"Banana, doce em barra",280.0,75.7,2.2,0.1,3.8,100g,TACO
"Banana, figo, crua",105.0,27.8,1.1,0.1,2.8,100g,TACO
"Banana, maçã, crua",87.0,22.3,1.8,0.1,2.6,100g,TACO
"Banana, nanica, crua",92.0,23.8,1.4,0.1,1.9,100g,TACO
